Total Mapping Time,UP-Index,UP-Start,UP-End,Initiation Sites,Location,Termination Sites,Location,Direction,Complete,Duration,Magnitude
,1,5,9,Cervix,Center,Middle Uterus,Center,C-F(Vertical),No,5,
,2,16,20,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,5,
,3,34,42,Fundus,Center,Other,Center,F-C(Vertical),Yes,9,
,4,54,56,Fundus,Center,Middle Uterus,Center,F-C(Vertical),No,3,
,5,62,73,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,12,
,6,80,86,Middle Uterus,Center,Middle Uterus,Center,F-C(Vertical),No,7,
,7,93,107,Fundus,Center,Fundus,Center,Other,Yes,15,
,8,110,112,Cervix,Center,Middle Uterus,Center,C-F(Vertical),No,3,
,9,115,117,Fundus,Center,Middle Uterus,Center,F-C(Vertical),No,3,
,10,131,133,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,3,
,11,138,142,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,5,
,12,150,156,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,7,
,13,168,185,Fundus,Center,Middle Uterus,Center,Other,Yes,18,
,14,192,198,Middle Uterus,Center,Cervix,Center,F-C(Vertical),No,7,
,15,202,204,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,3,
,16,225,230,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,6,
,17,237,245,Fundus,Center,Middle Uterus,Center,F-C(Vertical),No,9,
,18,252,256,Fundus,Center,Middle Uterus,Center,F-C(Vertical),No,5,
,19,260,263,Cervix,Center,Middle Uterus,Center,C-F(Vertical),No,4,
,20,268,271,Middle Uterus,Center,Middle Uterus,Center,C-F(Vertical),No,4,
,21,279,285,Middle Uterus,Center,Cervix,Center,F-C(Vertical),No,7,
,22,289,293,Middle Uterus,Center,Middle Uterus,Center,F-C(Vertical),Yes,5,
,23,296,305,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,10,
,24,311,315,Middle Uterus,Center,Cervix,Center,F-C(Vertical),No,5,
,25,321,325,Middle Uterus,Center,Middle Uterus,Center,Other,No,5,
,26,337,340,Middle Uterus,Center,Middle Uterus,Center,Other,No,4,
,27,342,344,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,3,
,28,354,359,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,6,
,29,366,369,Fundus,Center,Middle Uterus,Center,F-C(Vertical),No,4,
,30,380,388,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,9,
,31,392,395,Middle Uterus,Center,Cervix,Right,F-C(Vertical),No,4,
,32,404,410,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,7,
,33,421,423,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,3,
,34,431,437,Fundus,Center,Middle Uterus,Center,F-C(Vertical),No,7,
,35,442,444,Cervix,Center,Middle Uterus,Center,C-F(Vertical),No,3,
,36,446,448,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,3,
,37,458,463,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,6,
,38,477,485,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,9,
,39,498,502,Middle Uterus,Center,Cervix,Center,F-C(Vertical),Yes,5,
,40,507,509,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,3,
,41,524,528,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,5,
,42,538,542,Fundus,Center,Middle Uterus,Center,F-C(Vertical),No,5,
,43,562,567,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,6,
,44,576,580,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,5,
,45,588,590,Cervix,Center,Middle Uterus,Center,C-F(Vertical),No,3,
,46,598,602,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,5,
